title,year,director,genre,producer,country,actors,length,budget
Тайна Коко,2017,Ли Анкрич,"мультфильм,приключение,кинокомедия","[en],Дарла К. Андерсон",,,105 мин., 175–200 млн
"Доктор Стрейнджлав, или Как я перестал бояться и полюбил бомбу",1964,Стэнли Кубрик,"кинокомедия,военный фильм",Стэнли Кубрик,США,"Питер Селлерс,Джордж К. Скотт,Трейси Рид",95 мин. (1:35),"1,8 млн "
Красота по-американски,1999,Сэм Мендес,драма,,,"Кевин Спейси,Аннетт Бенинг,Тора Бёрч,Эллисон Дженни,Питер Галлахер,Мина Сувари,Уэс Бентли,Крис Купер",122 мин.,15 млн $
Чужие,1986,Джеймс Кэмерон,"боевик,приключение,научная фантастика",,,Сигурни Уивер,137 мин.,"18,5 млн"
Свидетель обвинения,1957,Билли Уайлдер,"детектив,драма,фильм-тайна",Артур Хорнблоу,,"Чарльз Лоутон,Тайрон Пауэр,Марлен Дитрих",116 мин.,
Человек-паук: Через вселенные,2018,Боб Персичетти,"мультфильм,боевик,приключение",,США,,117 мин,90 млн
Великий диктатор,1940,Чарли Чаплин,"кинокомедия,драма,военный фильм",Чарли Чаплин,США,Полетт Годдар,125 мин,2 млн 
Сияние,1980,Стэнли Кубрик,"драма,хоррор",,[4],"Джек Николсон,Шелли Дюваль,Дэнни Ллойд",146 мин. (Премьерная версия),19 млн 
Тропы славы,1957,Стэнли Кубрик,"драма,военный фильм","[en], , ",США,Джордж Макреди,88 мин,935 тыс. 
Бульвар Сансет,1950,Билли Уайлдер,"драма,нуар",,США,"Уильям Холден,Глория Свенсон",110 мин,"≈ 1,752 млн долл."
Мстители: Война бесконечности,2018,Братья Руссо,"боевик,приключение,научная фантастика",,,"Роберт Дауни-младший,Крис Хемсворт,Марк Руффало,Крис Эванс,Скарлетт Йоханссон,Бенедикт Камбербэтч,Дон Чидл,Том Холланд,Чедвик Боузман,Пол Беттани,Элизабет Олсен,Энтони Маки,Себастиан Стэн,Карен Гиллан,Данай Гурира,Том Хиддлстон,Пом Клементьефф,Бенедикт Вонг,Летиша Райт,Дейв Батиста,Зои Салдана,Джош Бролин,Крис Прэтт",149 мин,316—400 млн
Жизнь других,2006,Флориан Хенкель фон Доннерсмарк,"драма,фильм-тайна,триллер","Квирин Берг,Макс Видеман",Германия,"Ульрих Мюэ,Мартина Гедек,Себастьян Кох,Ульрих Тукур",137 мин,2 млн. 
ВАЛЛ-И,2008,Эндрю Стэнтон,"мультфильм,приключение,семейный фильм",Джим Моррис,,,98 минут,180 млн 
